1484
8 1
   3    3    3    3    2    3    3    3   10 
1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 
0.000000 0.749071 0.250929 	0.000000 0.473630 0.526370 	0.197111 0.802889 0.000000 	1.000000 0.000000 0.000000 	1.000000 0.000000 	1.000000 0.000000 0.000000 	0.034189 0.965811 0.000000 	1.000000 0.000000 0.000000 	0.000000 0.000000 1.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 	
0.600278 0.399722 0.000000 	0.000000 0.923967 0.076033 	0.000000 0.758434 0.241566 	1.000000 0.000000 0.000000 	1.000000 0.000000 	1.000000 0.000000 0.000000 	0.000000 0.000000 1.000000 	1.000000 0.000000 0.000000 	1.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 	
0.409559 0.590441 0.000000 	0.000000 0.923967 0.076033 	0.000000 0.758434 0.241566 	1.000000 0.000000 0.000000 	1.000000 0.000000 	1.000000 0.000000 0.000000 	0.000000 0.000000 1.000000 	1.000000 0.000000 0.000000 	1.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 	
0.091694 0.908306 0.000000 	0.045124 0.954876 0.000000 	0.000000 0.758434 0.241566 	0.000000 0.135629 0.864371 	1.000000 0.000000 	1.000000 0.000000 0.000000 	0.000000 0.064323 0.935677 	1.000000 0.000000 0.000000 	0.000000 0.000000 1.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 	
0.000000 0.703921 0.296079 	0.462089 0.537911 0.000000 	0.000000 0.652091 0.347909 	0.842966 0.157034 0.000000 	1.000000 0.000000 	1.000000 0.000000 0.000000 	0.000000 0.000000 1.000000 	0.690457 0.309543 0.000000 	1.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 	
0.000000 0.794221 0.205779 	0.323101 0.676899 0.000000 	0.000000 0.000000 1.000000 	0.914258 0.085742 0.000000 	1.000000 0.000000 	1.000000 0.000000 0.000000 	0.000000 0.567357 0.432643 	1.000000 0.000000 0.000000 	1.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 	
0.000000 0.523321 0.476679 	0.000000 0.135877 0.864123 	0.000000 0.226718 0.773282 	0.486507 0.513493 0.000000 	1.000000 0.000000 	1.000000 0.000000 0.000000 	0.000000 0.902711 0.097289 	1.000000 0.000000 0.000000 	0.000000 0.000000 1.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 	
0.000000 0.000000 1.000000 	0.000000 0.000000 1.000000 	0.991790 0.008210 0.000000 	0.000000 0.649731 0.350269 	1.000000 0.000000 	1.000000 0.000000 0.000000 	0.000000 0.000000 1.000000 	0.252094 0.747906 0.000000 	0.000000 0.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000 0.000000 	
0.000000 0.974822 0.025178 	0.000000 0.867675 0.132325 	0.486085 0.513915 0.000000 	1.000000 0.000000 0.000000 	1.000000 0.000000 	1.000000 0.000000 0.000000 	0.000000 0.000000 1.000000 	0.325154 0.674846 0.000000 	0.000000 1.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 	
0.091694 0.908306 0.000000 	0.045124 0.954876 0.000000 	0.486085 0.513915 0.000000 	0.000000 0.000000 1.000000 	1.000000 0.000000 	1.000000 0.000000 0.000000 	0.000000 0.399679 0.600321 	1.000000 0.000000 0.000000 	0.000000 0.000000 1.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 	
0.918144 0.081856 0.000000 	0.000000 0.473630 0.526370 	0.000000 0.000000 1.000000 	1.000000 0.000000 0.000000 	1.000000 0.000000 	1.000000 0.000000 0.000000 	0.000000 0.232002 0.767998 	0.000000 0.599756 0.400244 	1.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 	
1.000000 0.000000 0.000000 	0.000000 0.811383 0.188617 	0.000000 0.864777 0.135223 	0.000000 0.478364 0.521636 	1.000000 0.000000 	1.000000 0.000000 0.000000 	0.000000 0.567357 0.432643 	1.000000 0.000000 0.000000 	0.000000 1.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 	
0.000000 0.000000 1.000000 	0.000000 0.000000 1.000000 	0.558329 0.441671 0.000000 	0.343923 0.656077 0.000000 	1.000000 0.000000 	1.000000 0.000000 0.000000 	0.441415 0.558585 0.000000 	1.000000 0.000000 0.000000 	0.000000 0.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000 0.000000 	
0.000000 0.026670 0.973330 	0.000000 0.135877 0.864123 	0.197111 0.802889 0.000000 	0.000000 0.863941 0.136059 	1.000000 0.000000 	1.000000 0.000000 0.000000 	0.522861 0.477139 0.000000 	1.000000 0.000000 0.000000 	0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000 	
0.000000 0.116970 0.883030 	0.000000 0.473630 0.526370 	0.341598 0.658402 0.000000 	0.058755 0.941245 0.000000 	1.000000 0.000000 	1.000000 0.000000 0.000000 	0.000000 0.064323 0.935677 	0.836578 0.163421 0.000000 	0.000000 0.000000 1.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 	
0.790997 0.209003 0.000000 	0.462089 0.537911 0.000000 	0.000000 0.226718 0.773282 	0.914258 0.085742 0.000000 	1.000000 0.000000 	1.000000 0.000000 0.000000 	0.000000 0.000000 1.000000 	0.763518 0.236482 0.000000 	1.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 	
0.000000 0.703921 0.296079 	0.000000 0.923967 0.076033 	0.486085 0.513915 0.000000 	0.000000 0.435522 0.564478 	1.000000 0.000000 	1.000000 0.000000 0.000000 	0.000000 0.735033 0.264967 	1.000000 0.000000 0.000000 	0.000000 0.000000 1.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 	
0.000000 0.794221 0.205779 	0.000000 0.923967 0.076033 	0.000000 0.652091 0.347909 	0.000000 0.863941 0.136059 	1.000000 0.000000 	1.000000 0.000000 0.000000 	0.000000 0.232002 0.767998 	1.000000 0.000000 0.000000 	0.000000 0.000000 1.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 	
0.000000 0.000000 1.000000 	0.000000 0.079585 0.920415 	0.775060 0.224940 0.000000 	0.486507 0.513493 0.000000 	1.000000 0.000000 	1.000000 0.000000 0.000000 	0.000000 0.064323 0.935677 	1.000000 0.000000 0.000000 	0.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000 0.000000 0.000000 	
0.000000 0.000000 1.000000 	0.000000 0.000000 1.000000 	0.000000 0.864777 0.135223 	0.000000 0.606889 0.393111 	1.000000 0.000000 	1.000000 0.000000 0.000000 	0.000000 0.000000 1.000000 	1.000000 0.000000 0.000000 	0.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000 0.000000 0.000000 	
0.000000 0.000000 1.000000 	0.000000 0.698798 0.301201 	0.630573 0.369427 0.000000 	0.201339 0.798661 0.000000 	1.000000 0.000000 	1.000000 0.000000 0.000000 	0.000000 0.000000 1.000000 	1.000000 0.000000 0.000000 	0.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000 0.000000 0.000000 	
0.727424 0.272576 0.000000 	0.000000 0.867675 0.132325 	0.775060 0.224940 0.000000 	0.771674 0.228326 0.000000 	1.000000 0.000000 	1.000000 0.000000 0.000000 	0.000000 0.567357 0.432643 	1.000000 0.000000 0.000000 	0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 	
0.981717 0.018283 0.000000 	1.000000 0.000000 0.000000 	0.000000 0.333061 0.666939 	0.914258 0.085742 0.000000 	1.000000 0.000000 	1.000000 0.000000 0.000000 	0.034189 0.965811 0.000000 	0.763518 0.236482 0.000000 	0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 	
0.000000 0.974822 0.025178 	1.000000 0.000000 0.000000 	0.000000 0.120375 0.879625 	0.000000 0.649731 0.350269 	1.000000 0.000000 	1.000000 0.000000 0.000000 	0.115635 0.884365 0.000000 	0.000000 0.979151 0.020849 	0.000000 1.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 	
0.000000 0.026670 0.973330 	0.000000 0.000000 1.000000 	0.000000 0.120375 0.879625 	0.000000 0.306996 0.693004 	1.000000 0.000000 	1.000000 0.000000 0.000000 	0.685751 0.314249 0.000000 	0.105973 0.894027 0.000000 	0.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000 0.000000 0.000000 	
0.218840 0.781160 0.000000 	0.879055 0.120945 0.000000 	0.000000 0.758434 0.241566 	0.130048 0.869952 0.000000 	1.000000 0.000000 	1.000000 0.000000 0.000000 	0.034189 0.965811 0.000000 	1.000000 0.000000 0.000000 	0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000 	
0.000000 0.026670 0.973330 	0.000000 0.698798 0.301201 	0.000000 0.864777 0.135223 	0.201339 0.798661 0.000000 	1.000000 0.000000 	1.000000 0.000000 0.000000 	0.000000 0.000000 1.000000 	1.000000 0.000000 0.000000 	0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 	
0.663851 0.336149 0.000000 	1.000000 0.000000 0.000000 	1.000000 0.000000 0.000000 	1.000000 0.000000 0.000000 	1.000000 0.000000 	1.000000 0.000000 0.000000 	0.000000 0.735033 0.264967 	1.000000 0.000000 0.000000 	0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 	
0.282413 0.717587 0.000000 	0.879055 0.120945 0.000000 	0.000000 0.864777 0.135223 	0.700383 0.299617 0.000000 	1.000000 0.000000 	1.000000 0.000000 0.000000 	0.000000 0.399679 0.600321 	0.617397 0.382603 0.000000 	1.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 	
0.727424 0.272576 0.000000 	0.000000 0.923967 0.076033 	0.341598 0.658402 0.000000 	1.000000 0.000000 0.000000 	1.000000 0.000000 	1.000000 0.000000 0.000000 	0.000000 0.399679 0.600321 	0.000000 0.000000 1.000000 	0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 	
0.473132 0.526868 0.000000 	0.392595 0.607405 0.000000 	0.000000 0.439404 0.560596 	0.000000 0.478364 0.521636 	1.000000 0.000000 	1.000000 0.000000 0.000000 	0.000000 0.000000 1.000000 	0.000000 0.941212 0.058788 	0.000000 1.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 	
0.000000 0.839371 0.160629 	0.253606 0.746394 0.000000 	0.000000 0.120375 0.879625 	0.272631 0.727369 0.000000 	1.000000 0.000000 	1.000000 0.000000 0.000000 	0.000000 0.567357 0.432643 	1.000000 0.000000 0.000000 	1.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 	
0.000000 0.478171 0.521829 	0.000000 0.586215 0.413785 	0.000000 0.333061 0.666939 	0.557799 0.442201 0.000000 	1.000000 0.000000 	1.000000 0.000000 0.000000 	0.197080 0.802920 0.000000 	1.000000 0.000000 0.000000 	1.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 	
0.000000 0.478171 0.521829 	0.000000 0.755091 0.244909 	0.000000 0.333061 0.666939 	0.629091 0.370909 0.000000 	1.000000 0.000000 	1.000000 0.000000 0.000000 	0.278525 0.721475 0.000000 	1.000000 0.000000 0.000000 	1.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 	
0.000000 0.387870 0.612130 	0.000000 0.417338 0.582662 	0.052624 0.947376 0.000000 	1.000000 0.000000 0.000000 	1.000000 0.000000 	1.000000 0.000000 0.000000 	0.000000 0.902711 0.097289 	1.000000 0.000000 0.000000 	1.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 	
0.000000 0.974822 0.025178 	0.531583 0.468417 0.000000 	0.000000 0.864777 0.135223 	0.000000 0.906783 0.093217 	1.000000 0.000000 	1.000000 0.000000 0.000000 	0.000000 0.000000 1.000000 	1.000000 0.000000 0.000000 	1.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 	
0.918144 0.081856 0.000000 	0.184112 0.815888 0.000000 	0.000000 0.652091 0.347909 	0.842966 0.157034 0.000000 	1.000000 0.000000 	1.000000 0.000000 0.000000 	0.000000 0.735033 0.264967 	1.000000 0.000000 0.000000 	1.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 	
0.473132 0.526868 0.000000 	0.000000 0.642507 0.357493 	0.124868 0.875132 0.000000 	0.000000 0.000000 1.000000 	1.000000 0.000000 	1.000000 0.000000 0.000000 	0.000000 0.399679 0.600321 	1.000000 0.000000 0.000000 	0.000000 0.000000 1.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 	
0.600278 0.399722 0.000000 	1.000000 0.000000 0.000000 	0.000000 0.758434 0.241566 	0.000000 0.092787 0.907213 	1.000000 0.000000 	1.000000 0.000000 0.000000 	0.000000 0.064323 0.935677 	1.000000 0.000000 0.000000 	0.000000 0.000000 1.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 	
0.981717 0.018283 0.000000 	1.000000 0.000000 0.000000 	0.197111 0.802889 0.000000 	0.914258 0.085742 0.000000 	1.000000 0.000000 	1.000000 0.000000 0.000000 	0.278525 0.721475 0.000000 	0.836578 0.163421 0.000000 	0.000000 1.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 	
0.282413 0.717587 0.000000 	0.601077 0.398923 0.000000 	0.000000 0.864777 0.135223 	0.000000 0.949625 0.050375 	1.000000 0.000000 	1.000000 0.000000 0.000000 	0.000000 0.399679 0.600321 	0.000000 0.751514 0.248486 	0.000000 1.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 	
0.727424 0.272576 0.000000 	0.392595 0.607405 0.000000 	0.000000 0.014032 0.985968 	0.842966 0.157034 0.000000 	1.000000 0.000000 	1.000000 0.000000 0.000000 	0.000000 0.000000 1.000000 	0.690457 0.309543 0.000000 	0.000000 1.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 	
0.000000 0.929671 0.070329 	0.253606 0.746394 0.000000 	0.413842 0.586158 0.000000 	1.000000 0.000000 0.000000 	1.000000 0.000000 	1.000000 0.000000 0.000000 	0.000000 0.399679 0.600321 	0.690457 0.309543 0.000000 	1.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 	
0.000000 0.658771 0.341229 	0.323101 0.676899 0.000000 	0.341598 0.658402 0.000000 	0.629091 0.370909 0.000000 	1.000000 0.000000 	1.000000 0.000000 0.000000 	0.000000 0.567357 0.432643 	0.544336 0.455664 0.000000 	1.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 	
1.000000 0.000000 0.000000 	0.392595 0.607405 0.000000 	0.000000 0.226718 0.773282 	1.000000 0.000000 0.000000 	1.000000 0.000000 	1.000000 0.000000 0.000000 	0.000000 0.000000 1.000000 	1.000000 0.000000 0.000000 	1.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 	
0.282413 0.717587 0.000000 	0.000000 0.867675 0.132325 	0.000000 0.439404 0.560596 	1.000000 0.000000 0.000000 	1.000000 0.000000 	1.000000 0.000000 0.000000 	0.000000 0.567357 0.432643 	1.000000 0.000000 0.000000 	1.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 	
0.345986 0.654014 0.000000 	0.879055 0.120945 0.000000 	0.000000 0.014032 0.985968 	1.000000 0.000000 0.000000 	1.000000 0.000000 	1.000000 0.000000 0.000000 	0.000000 0.000000 1.000000 	1.000000 0.000000 0.000000 	1.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 	
0.000000 0.000000 1.000000 	0.000000 0.000000 1.000000 	0.197111 0.802889 0.000000 	0.000000 0.735415 0.264585 	1.000000 0.000000 	1.000000 0.000000 0.000000 	0.000000 0.000000 1.000000 	1.000000 0.000000 0.000000 	0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000 	
0.282413 0.717587 0.000000 	0.670572 0.329428 0.000000 	0.000000 0.758434 0.241566 	0.486507 0.513493 0.000000 	1.000000 0.000000 	1.000000 0.000000 0.000000 	0.000000 0.000000 1.000000 	1.000000 0.000000 0.000000 	1.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 	
0.000000 0.749071 0.250929 	0.045124 0.954876 0.000000 	0.052624 0.947376 0.000000 	0.272631 0.727369 0.000000 	1.000000 0.000000 	1.000000 0.000000 0.000000 	0.000000 0.000000 1.000000 	0.544336 0.455664 0.000000 	1.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 	
0.000000 0.658771 0.341229 	0.114618 0.885382 0.000000 	0.413842 0.586158 0.000000 	0.000000 0.000000 1.000000 	1.000000 0.000000 	1.000000 0.000000 0.000000 	0.115635 0.884365 0.000000 	1.000000 0.000000 0.000000 	0.000000 0.000000 1.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 	
0.473132 0.526868 0.000000 	0.000000 0.811383 0.188617 	0.000000 0.545747 0.454253 	0.000000 0.000000 1.000000 	1.000000 0.000000 	1.000000 0.000000 0.000000 	0.115635 0.884365 0.000000 	1.000000 0.000000 0.000000 	0.000000 0.000000 1.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 	
0.409559 0.590441 0.000000 	0.184112 0.815888 0.000000 	0.000000 0.120375 0.879625 	0.557799 0.442201 0.000000 	1.000000 0.000000 	1.000000 0.000000 0.000000 	0.359971 0.640029 0.000000 	1.000000 0.000000 0.000000 	0.000000 0.000000 1.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 	
0.218840 0.781160 0.000000 	0.670572 0.329428 0.000000 	0.000000 0.333061 0.666939 	0.000000 0.000000 1.000000 	1.000000 0.000000 	1.000000 0.000000 0.000000 	0.522861 0.477139 0.000000 	0.836578 0.163421 0.000000 	0.000000 0.000000 1.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 	
0.000000 0.523321 0.476679 	0.000000 0.923967 0.076033 	0.000000 0.545747 0.454253 	0.000000 0.606889 0.393111 	1.000000 0.000000 	1.000000 0.000000 0.000000 	0.000000 0.735033 0.264967 	1.000000 0.000000 0.000000 	0.000000 0.000000 1.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 	
0.155267 0.844733 0.000000 	0.000000 0.867675 0.132325 	0.000000 0.652091 0.347909 	0.000000 0.007103 0.992897 	1.000000 0.000000 	1.000000 0.000000 0.000000 	0.000000 0.567357 0.432643 	0.690457 0.309543 0.000000 	0.000000 0.000000 1.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 	
