178
13 1
   3    4    3    3    3    3    3    3    3    3    3    3    4    3 
1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 
0.000000 0.000000 1.000000 	0.311489 0.688511 0.000000 0.000000 	0.000000 0.674254 0.325746 	1.000000 0.000000 0.000000 	0.000000 0.000000 1.000000 	0.000000 0.396682 0.603318 	0.000000 0.023593 0.976407 	0.833602 0.166397 0.000000 	0.000000 0.244432 0.755568 	0.000000 0.949856 0.050144 	0.000000 0.729861 0.270139 	0.000000 0.000000 1.000000 	0.000000 0.000000 0.839028 0.160972 	1.000000 0.000000 0.000000 	
0.000000 0.000000 1.000000 	0.280553 0.719447 0.000000 0.000000 	0.000000 0.787557 0.212443 	1.000000 0.000000 0.000000 	0.746280 0.253720 0.000000 	0.000000 0.000000 1.000000 	0.000000 0.000000 1.000000 	0.000000 0.801431 0.198569 	0.000000 0.000000 1.000000 	0.025014 0.974986 0.000000 	0.000000 0.000000 1.000000 	0.000000 0.969464 0.030536 	0.000000 0.000000 0.578332 0.421668 	1.000000 0.000000 0.000000 	
0.000000 0.000000 1.000000 	0.063999 0.936001 0.000000 0.000000 	0.000000 0.815882 0.184118 	1.000000 0.000000 0.000000 	0.048551 0.951449 0.000000 	0.000000 0.000000 1.000000 	0.000000 0.000000 1.000000 	0.764136 0.235864 0.000000 	0.000000 0.000000 1.000000 	0.000000 0.425000 0.575000 	0.000000 0.101348 0.898652 	0.000000 0.553979 0.446021 	0.000000 0.000000 0.000000 1.000000 	1.000000 0.000000 0.000000 	
0.000000 0.305551 0.694449 	0.156808 0.843192 0.000000 0.000000 	0.000000 0.000000 1.000000 	0.648949 0.351051 0.000000 	0.000000 0.586819 0.413181 	0.000000 0.317408 0.682592 	0.000000 0.166469 0.833531 	0.694669 0.305331 0.000000 	0.276209 0.723791 0.000000 	0.000000 0.481436 0.518564 	0.000000 0.000000 1.000000 	0.000000 0.738639 0.261361 	0.000000 0.000000 0.087610 0.912390 	1.000000 0.000000 0.000000 	
0.000000 0.000000 1.000000 	0.000000 0.994206 0.005794 0.000000 	0.000000 0.000000 1.000000 	0.000000 0.971994 0.028006 	0.000000 0.228877 0.771123 	0.000000 0.396682 0.603318 	0.000000 0.000000 1.000000 	0.486268 0.513732 0.000000 	0.000000 0.624132 0.375868 	0.000000 0.791835 0.208165 	0.000000 0.612014 0.387986 	0.059221 0.940779 0.000000 	0.000000 0.000000 0.179620 0.820380 	1.000000 0.000000 0.000000 	
0.000000 0.078528 0.921472 	0.528043 0.471957 0.000000 0.000000 	0.000000 0.136065 0.863935 	0.000000 0.971994 0.028006 	0.000000 0.452591 0.547409 	0.000000 0.158859 0.841141 	0.000000 0.000000 1.000000 	0.000000 1.000000 0.000000 	0.000000 0.920772 0.079228 	0.000000 0.678963 0.321037 	0.000000 0.376322 0.623678 	0.137977 0.862023 0.000000 	0.000000 0.000000 0.639672 0.360328 	1.000000 0.000000 0.000000 	
0.000000 0.000000 1.000000 	0.497106 0.502894 0.000000 0.000000 	0.000000 0.532625 0.467375 	0.818975 0.181025 0.000000 	0.000000 0.765791 0.234209 	0.000000 0.000000 1.000000 	0.000000 0.000000 1.000000 	0.555735 0.444265 0.000000 	0.000000 0.754654 0.245346 	0.000000 0.086383 0.913616 	0.000000 0.000000 1.000000 	0.000000 0.830969 0.169031 	0.000000 0.000000 0.000000 1.000000 	1.000000 0.000000 0.000000 	
0.000000 0.294199 0.705801 	0.000000 0.201528 0.798472 0.000000 	0.000000 0.306019 0.693981 	1.000000 0.000000 0.000000 	0.000000 0.407848 0.592152 	0.000000 0.555230 0.444770 	0.000000 0.052168 0.947832 	1.000000 0.000000 0.000000 	0.000000 0.991966 0.008034 	0.145471 0.854529 0.000000 	0.036988 0.963012 0.000000 	0.000000 0.000000 1.000000 	0.000000 0.526368 0.473632 0.000000 	1.000000 0.000000 0.000000 	
0.000000 0.000000 1.000000 	0.435234 0.564766 0.000000 0.000000 	0.092453 0.907547 0.000000 	0.940422 0.059578 0.000000 	0.000000 0.000000 1.000000 	0.000000 0.079585 0.920415 	0.000000 0.000000 1.000000 	1.000000 0.000000 0.000000 	0.000000 0.469879 0.530121 	0.000000 0.947034 0.052966 	0.000000 0.533450 0.466550 	0.000000 0.000000 1.000000 	0.000000 0.730612 0.269388 0.000000 	1.000000 0.000000 0.000000 	
0.094618 0.905382 0.000000 	0.000000 0.000000 0.703291 0.296708 	0.000000 0.051087 0.948913 	0.308898 0.691102 0.000000 	0.048551 0.951449 0.000000 	0.012212 0.987788 0.000000 	0.000000 0.642723 0.357277 	1.000000 0.000000 0.000000 	0.000000 0.612266 0.387734 	0.386385 0.613616 0.000000 	0.000000 0.769143 0.230857 	0.000000 0.000000 1.000000 	0.000000 0.762034 0.237966 0.000000 	1.000000 0.000000 0.000000 	
0.000000 0.214741 0.785259 	0.079467 0.920533 0.000000 0.000000 	0.000000 0.872535 0.127465 	0.794686 0.205314 0.000000 	0.111981 0.888019 0.000000 	0.000000 0.697924 0.302076 	0.000000 0.195044 0.804956 	0.903069 0.096931 0.000000 	0.000000 0.956369 0.043631 	0.667451 0.332549 0.000000 	0.000000 0.454886 0.545114 	0.000000 0.000000 1.000000 	0.000000 0.000000 0.931039 0.068961 	1.000000 0.000000 0.000000 	
0.180426 0.819574 0.000000 	0.481638 0.518362 0.000000 0.000000 	0.000000 0.419322 0.580678 	0.503213 0.496787 0.000000 	0.492561 0.507439 0.000000 	0.000000 0.904037 0.095963 	0.000000 0.680823 0.319177 	0.972536 0.027464 0.000000 	0.276209 0.723791 0.000000 	0.615253 0.384747 0.000000 	0.000000 0.533450 0.466550 	0.000000 0.000000 1.000000 	0.000000 0.000000 0.992379 0.007621 	1.000000 0.000000 0.000000 	
0.000000 0.453116 0.546884 	0.156808 0.843192 0.000000 0.000000 	0.000000 0.164391 0.835609 	0.000000 0.971994 0.028006 	0.429131 0.570869 0.000000 	0.000000 0.824762 0.175238 	0.000000 0.452221 0.547779 	0.833602 0.166397 0.000000 	0.000000 0.991966 0.008034 	0.779877 0.220123 0.000000 	0.000000 0.415604 0.584396 	0.000000 0.000000 1.000000 	0.000000 0.526368 0.473632 0.000000 	1.000000 0.000000 0.000000 	
0.000000 0.963919 0.036081 	0.000000 0.906877 0.093123 0.000000 	0.000000 0.000000 1.000000 	0.000000 0.000000 1.000000 	0.000000 0.049906 0.950094 	0.000000 0.666214 0.333786 	0.000000 0.385546 0.614454 	0.000000 0.536673 0.463327 	0.000000 0.683460 0.316540 	0.755786 0.244214 0.000000 	0.000000 0.376322 0.623678 	0.000000 0.246213 0.753787 	0.000000 0.573501 0.426499 0.000000 	1.000000 0.000000 0.000000 	
0.000000 0.577979 0.422021 	0.218681 0.781319 0.000000 0.000000 	0.000000 0.136065 0.863935 	0.916133 0.083867 0.000000 	0.619421 0.380579 0.000000 	0.000000 0.317408 0.682592 	0.000000 0.137894 0.862106 	0.416801 0.583199 0.000000 	0.290504 0.709496 0.000000 	0.265928 0.734072 0.000000 	0.168727 0.831273 0.000000 	0.000000 0.215436 0.784564 	0.000000 0.000000 0.440316 0.559684 	1.000000 0.000000 0.000000 	
0.000000 0.680139 0.319861 	0.296021 0.703979 0.000000 0.000000 	0.462264 0.537736 0.000000 	0.697528 0.302472 0.000000 	0.555991 0.444009 0.000000 	0.025103 0.974897 0.000000 	0.000000 0.852275 0.147725 	0.903069 0.096931 0.000000 	0.433447 0.566553 0.000000 	0.607222 0.392778 0.000000 	0.000000 0.808425 0.191575 	0.000000 0.907911 0.092089 	0.000000 0.000000 0.164285 0.835715 	1.000000 0.000000 0.000000 	
0.000000 0.033123 0.966877 	0.017595 0.982405 0.000000 0.000000 	0.000000 0.000000 1.000000 	0.114583 0.885417 0.000000 	0.000000 0.810534 0.189466 	0.000000 0.158859 0.841141 	0.000000 0.109318 0.890682 	0.208401 0.791599 0.000000 	0.000000 0.873310 0.126690 	0.386385 0.613616 0.000000 	0.000000 0.000000 1.000000 	0.000000 0.000000 1.000000 	0.000000 0.306413 0.693587 0.000000 	1.000000 0.000000 0.000000 	
0.000000 0.000000 1.000000 	0.357894 0.642106 0.000000 0.000000 	0.277359 0.722641 0.000000 	0.940422 0.059578 0.000000 	0.429131 0.570869 0.000000 	0.000000 0.634504 0.365496 	0.000000 0.718924 0.281076 	0.972536 0.027464 0.000000 	0.000000 0.612266 0.387734 	0.306080 0.693920 0.000000 	0.000000 0.729861 0.270139 	0.000000 0.000000 1.000000 	0.000000 0.000000 0.931039 0.068961 	1.000000 0.000000 0.000000 	
0.000000 0.192040 0.807960 	0.636320 0.363680 0.000000 0.000000 	0.000000 0.000000 1.000000 	0.000000 0.426116 0.573884 	0.111981 0.888019 0.000000 	0.000000 0.079585 0.920415 	0.000000 0.000000 1.000000 	0.764136 0.235864 0.000000 	0.000000 0.137641 0.862359 	0.000000 0.932925 0.067075 	0.000000 0.140630 0.859370 	0.000154 0.999846 0.000000 	0.000000 0.000000 0.164285 0.835715 	1.000000 0.000000 0.000000 	
0.000000 0.362307 0.637693 	0.388830 0.611170 0.000000 0.000000 	0.000000 0.872535 0.127465 	0.187451 0.812549 0.000000 	0.000000 0.855276 0.144724 	0.000000 0.301553 0.698447 	0.000000 0.000000 1.000000 	1.000000 0.000000 0.000000 	0.000000 0.647863 0.352137 	0.000000 0.594308 0.405692 	0.000000 0.533450 0.466550 	0.000000 0.738639 0.261361 	0.000000 0.000000 0.000000 1.000000 	1.000000 0.000000 0.000000 	
0.000000 0.248795 0.751205 	0.125872 0.874128 0.000000 0.000000 	0.000000 0.872535 0.127465 	0.648949 0.351051 0.000000 	0.000000 0.944762 0.055238 	0.000000 0.999165 0.000835 	0.000000 0.376021 0.623979 	0.000000 0.867621 0.132379 	0.000000 0.624132 0.375868 	0.651390 0.348610 0.000000 	0.000000 0.000000 1.000000 	0.000000 0.754027 0.245973 	0.000000 0.070747 0.929253 0.000000 	1.000000 0.000000 0.000000 	
0.000000 0.157985 0.842015 	0.589915 0.410085 0.000000 0.000000 	0.000000 0.000000 1.000000 	0.090293 0.909707 0.000000 	0.000000 0.000000 1.000000 	0.000000 0.158859 0.841141 	0.000000 0.328395 0.671605 	0.000000 0.338104 0.661896 	0.433447 0.566553 0.000000 	0.025014 0.974986 0.000000 	0.000000 0.000000 1.000000 	0.000000 0.553979 0.446021 	0.000000 0.000000 0.317636 0.682364 	1.000000 0.000000 0.000000 	
0.000000 0.441765 0.558235 	0.172276 0.827724 0.000000 0.000000 	0.000000 0.051087 0.948913 	0.211740 0.788260 0.000000 	0.000000 0.676305 0.323695 	0.089556 0.910444 0.000000 	0.000000 0.528422 0.471578 	0.764136 0.235864 0.000000 	0.161854 0.838146 0.000000 	0.506842 0.493158 0.000000 	0.000000 0.494168 0.505832 	0.000000 0.754027 0.245973 	0.000000 0.000000 0.747018 0.252982 	1.000000 0.000000 0.000000 	
0.000000 0.475819 0.524181 	0.156808 0.843192 0.000000 0.000000 	0.000000 0.730905 0.269095 	0.000000 0.862818 0.137182 	0.175411 0.824589 0.000000 	0.000000 0.555230 0.444770 	0.000000 0.099793 0.900207 	0.972536 0.027464 0.000000 	0.000000 0.754654 0.245346 	0.145471 0.854529 0.000000 	0.000000 0.729861 0.270139 	0.000000 0.000000 1.000000 	0.000000 0.290702 0.709298 0.000000 	1.000000 0.000000 0.000000 	
0.000000 0.702843 0.297157 	0.419766 0.580234 0.000000 0.000000 	0.000000 0.000000 1.000000 	1.000000 0.000000 0.000000 	0.000000 0.676305 0.323695 	0.000000 0.713779 0.286221 	0.000000 0.385546 0.614454 	0.416801 0.583199 0.000000 	0.419153 0.580847 0.000000 	0.346232 0.653768 0.000000 	0.000000 0.533450 0.466550 	0.000000 0.892522 0.107478 	0.000000 0.416390 0.583610 0.000000 	1.000000 0.000000 0.000000 	
0.000000 0.963919 0.036081 	0.404298 0.595702 0.000000 0.000000 	0.000000 0.334345 0.665655 	0.454634 0.545366 0.000000 	0.302271 0.697729 0.000000 	0.000000 0.951601 0.048399 	0.000000 0.623673 0.376327 	0.764136 0.235864 0.000000 	0.304798 0.695202 0.000000 	0.486765 0.513235 0.000000 	0.000000 0.415604 0.584396 	0.197044 0.802956 0.000000 	0.000000 0.000000 0.716348 0.283652 	1.000000 0.000000 0.000000 	
0.000000 0.941217 0.058783 	0.636320 0.363680 0.000000 0.000000 	0.567925 0.432075 0.000000 	1.000000 0.000000 0.000000 	0.302271 0.697729 0.000000 	0.025103 0.974897 0.000000 	0.000000 0.423646 0.576354 	0.833602 0.166397 0.000000 	0.404859 0.595141 0.000000 	0.707603 0.292397 0.000000 	0.000000 0.179912 0.820088 	0.019843 0.980157 0.000000 	0.000000 0.000000 0.977044 0.022956 	1.000000 0.000000 0.000000 	
0.000000 0.000000 1.000000 	0.000000 0.000000 0.562355 0.437645 	0.000000 0.447648 0.552352 	1.000000 0.000000 0.000000 	0.000000 0.000000 1.000000 	0.000000 0.079585 0.920415 	0.000000 0.042643 0.957357 	1.000000 0.000000 0.000000 	0.000000 0.493610 0.506390 	0.145471 0.854529 0.000000 	0.267532 0.732468 0.000000 	0.000000 0.000000 1.000000 	0.000000 0.793456 0.206544 0.000000 	1.000000 0.000000 0.000000 	
0.000000 0.385009 0.614991 	0.311489 0.688511 0.000000 0.000000 	0.013208 0.986792 0.000000 	0.891843 0.108157 0.000000 	0.000000 0.363105 0.636895 	0.000000 0.000000 1.000000 	0.000000 0.000000 1.000000 	0.416801 0.583199 0.000000 	0.000000 0.185104 0.814896 	0.000000 0.811587 0.188413 	0.069923 0.930077 0.000000 	0.000000 0.000000 1.000000 	0.000000 0.683478 0.316522 0.000000 	1.000000 0.000000 0.000000 	
0.000000 0.555277 0.444723 	0.000000 0.000000 0.673621 0.326379 	0.515095 0.484905 0.000000 	0.260319 0.739681 0.000000 	0.809710 0.190290 0.000000 	0.000000 0.951601 0.048399 	0.000000 0.385546 0.614454 	0.903069 0.096931 0.000000 	0.247620 0.752380 0.000000 	0.474720 0.525280 0.000000 	0.201662 0.798338 0.000000 	0.000000 0.553979 0.446021 	0.000000 0.000000 0.931039 0.068961 	1.000000 0.000000 0.000000 	
0.000000 0.021771 0.978229 	0.033063 0.966937 0.000000 0.000000 	0.000000 0.221042 0.778958 	1.000000 0.000000 0.000000 	0.111981 0.888019 0.000000 	0.000000 0.000000 1.000000 	0.000000 0.000000 1.000000 	1.000000 0.000000 0.000000 	0.000000 0.944503 0.055497 	0.012968 0.987032 0.000000 	0.300466 0.699534 0.000000 	0.000000 0.000000 1.000000 	0.000000 0.000000 0.747018 0.252982 	1.000000 0.000000 0.000000 	
0.000000 0.748247 0.251753 	0.000000 0.000000 0.569773 0.430227 	0.066038 0.933962 0.000000 	0.576081 0.423919 0.000000 	0.000000 0.989505 0.010495 	0.000000 0.650359 0.349641 	0.000000 0.433171 0.566829 	0.555735 0.444265 0.000000 	0.000000 0.991966 0.008034 	0.442598 0.557402 0.000000 	0.498075 0.501925 0.000000 	0.000000 0.553979 0.446021 	0.059026 0.940974 0.000000 0.000000 	1.000000 0.000000 0.000000 	
0.000000 0.963919 0.036081 	0.218681 0.781319 0.000000 0.000000 	0.567925 0.432075 0.000000 	0.697528 0.302472 0.000000 	0.000000 0.810534 0.189466 	0.000000 0.079585 0.920415 	0.000000 0.080743 0.919257 	0.833602 0.166397 0.000000 	0.000000 0.552938 0.447062 	0.169562 0.830438 0.000000 	0.300466 0.699534 0.000000 	0.000000 0.015388 0.984612 	0.000000 0.400679 0.599321 0.000000 	1.000000 0.000000 0.000000 	
0.000000 0.000000 1.000000 	0.000000 0.000000 0.525266 0.474734 	0.000000 0.645928 0.354072 	0.236030 0.763970 0.000000 	0.000000 0.631562 0.368438 	0.000000 0.317408 0.682592 	0.000000 0.414121 0.585879 	0.694669 0.305331 0.000000 	0.576391 0.423609 0.000000 	0.089258 0.910742 0.000000 	0.333401 0.666599 0.000000 	0.000000 0.046165 0.953835 	0.000000 0.000000 0.793023 0.206977 	1.000000 0.000000 0.000000 	
0.000000 0.000000 1.000000 	0.000000 0.000000 0.859063 0.140937 	0.092453 0.907547 0.000000 	0.940422 0.059578 0.000000 	0.048551 0.951449 0.000000 	0.000000 0.000000 1.000000 	0.000000 0.000000 1.000000 	0.903069 0.096931 0.000000 	0.000000 0.363088 0.636912 	0.225775 0.774225 0.000000 	0.000000 0.729861 0.270139 	0.000000 0.000000 1.000000 	0.000000 0.000000 0.839028 0.160972 	1.000000 0.000000 0.000000 	
0.000000 0.000000 1.000000 	0.357894 0.642106 0.000000 0.000000 	0.515095 0.484905 0.000000 	0.940422 0.059578 0.000000 	0.111981 0.888019 0.000000 	0.000000 0.000000 1.000000 	0.000000 0.000000 1.000000 	1.000000 0.000000 0.000000 	0.000000 0.422416 0.577584 	0.000000 0.820053 0.179947 	0.201662 0.798338 0.000000 	0.000000 0.046165 0.953835 	0.000000 0.086458 0.913542 0.000000 	1.000000 0.000000 0.000000 	
0.000000 0.000000 1.000000 	0.000000 0.927030 0.072970 0.000000 	0.000000 0.759231 0.240769 	0.260319 0.739681 0.000000 	0.000000 0.989505 0.010495 	0.000000 0.475956 0.524044 	0.000000 0.156944 0.843056 	0.555735 0.444265 0.000000 	0.000000 0.137641 0.862359 	0.000000 0.791835 0.208165 	0.000000 0.612014 0.387986 	0.000000 0.938687 0.061313 	0.000000 0.000000 0.854363 0.145637 	1.000000 0.000000 0.000000 	
0.000000 0.000000 1.000000 	0.280553 0.719447 0.000000 0.000000 	0.118868 0.881132 0.000000 	0.600371 0.399629 0.000000 	0.000000 0.765791 0.234209 	0.000000 0.269843 0.730157 	0.000000 0.000000 1.000000 	0.555735 0.444265 0.000000 	0.000000 0.493610 0.506390 	0.000000 0.029948 0.970052 	0.000000 0.415604 0.584396 	0.000000 0.400096 0.599904 	0.000000 0.000000 0.240961 0.759039 	1.000000 0.000000 0.000000 	
0.000000 0.963919 0.036081 	0.280553 0.719447 0.000000 0.000000 	0.726415 0.273585 0.000000 	1.000000 0.000000 0.000000 	0.682850 0.317150 0.000000 	0.000000 0.523521 0.476479 	0.000000 0.000000 1.000000 	1.000000 0.000000 0.000000 	0.000000 0.000000 1.000000 	0.000000 0.509654 0.490346 	0.000000 0.415604 0.584396 	0.000000 0.692474 0.307526 	0.000000 0.000000 0.578332 0.421668 	1.000000 0.000000 0.000000 	
0.000000 0.078528 0.921472 	0.404298 0.595702 0.000000 0.000000 	0.000000 0.192716 0.807284 	0.648949 0.351051 0.000000 	0.555991 0.444009 0.000000 	0.000000 0.951601 0.048399 	0.000000 0.090268 0.909732 	1.000000 0.000000 0.000000 	0.000000 0.244432 0.755568 	0.000000 0.961143 0.038857 	0.000000 0.000000 1.000000 	0.000000 0.000000 1.000000 	0.000000 0.000000 0.225626 0.774374 	1.000000 0.000000 0.000000 	
0.000000 0.089879 0.910121 	0.249617 0.750383 0.000000 0.000000 	0.000000 0.702580 0.297420 	1.000000 0.000000 0.000000 	0.000000 0.631562 0.368438 	0.000000 0.000000 1.000000 	0.000000 0.000000 1.000000 	0.555735 0.444265 0.000000 	0.000000 0.742788 0.257212 	0.000000 0.551981 0.448019 	0.000000 0.847707 0.152293 	0.000000 0.153883 0.846117 	0.000000 0.000000 0.455651 0.544348 	1.000000 0.000000 0.000000 	
0.000000 0.146634 0.853366 	0.017595 0.982405 0.000000 0.000000 	0.000000 0.000000 1.000000 	0.673239 0.326761 0.000000 	0.000000 0.452591 0.547409 	0.000000 0.079585 0.920415 	0.000000 0.280770 0.719230 	0.069467 0.930533 0.000000 	0.000000 0.968235 0.031765 	0.000000 0.763617 0.236384 	0.000000 0.376322 0.623678 	0.000000 0.661697 0.338303 	0.000000 0.000000 0.000000 1.000000 	1.000000 0.000000 0.000000 	
0.000000 0.180688 0.819312 	0.373362 0.626638 0.000000 0.000000 	0.171698 0.828302 0.000000 	0.843265 0.156735 0.000000 	0.000000 0.318362 0.681638 	0.000000 0.713779 0.286221 	0.000000 0.175994 0.824006 	1.000000 0.000000 0.000000 	0.047499 0.952501 0.000000 	0.000000 0.890598 0.109402 	0.168727 0.831273 0.000000 	0.000000 0.246213 0.753787 	0.000000 0.000000 0.854363 0.145637 	1.000000 0.000000 0.000000 	
0.000000 0.385009 0.614991 	0.280553 0.719447 0.000000 0.000000 	0.000000 0.589277 0.410723 	0.000000 0.862818 0.137182 	0.000000 0.407848 0.592152 	0.000000 0.143004 0.856996 	0.000000 0.290295 0.709705 	1.000000 0.000000 0.000000 	0.000000 0.054582 0.945418 	0.000000 0.777726 0.222274 	0.000000 0.965553 0.034447 	0.000000 0.507814 0.492186 	0.000000 0.000000 0.670342 0.329658 	1.000000 0.000000 0.000000 	
0.000000 0.000000 1.000000 	0.326957 0.673043 0.000000 0.000000 	0.039623 0.960377 0.000000 	0.867554 0.132446 0.000000 	0.000000 0.318362 0.681638 	0.000000 0.000000 1.000000 	0.000000 0.080743 0.919257 	0.972536 0.027464 0.000000 	0.000000 0.552938 0.447062 	0.000000 0.741042 0.258958 	0.102858 0.897142 0.000000 	0.000000 0.076942 0.923058 	0.000000 0.133591 0.866409 0.000000 	1.000000 0.000000 0.000000 	
